ATM	NM_000051.3
BIRC3	NM_001165.4
BRAF	NM_004333.4
CREBBP	NM_004380.2
EP300	NM_001429.3
EZH2	NM_004456.4
FBXW7	NM_033632.3
HRAS	NM_005343.3
KRAS	NM_033360.3
MYD88	NM_002468.4
NOTCH1	NM_017617.4
NRAS	NM_002524.4
PAX5	NM_016734.2
SF3B1	NM_012433.3
STAT3	NM_139276.2
STAT5B	NM_012448.3
TP53	NM_000546.5
